./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --param=0.9 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=5730 by user binli at Wed Jul 31 03:34:28 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/5730/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-17.6625	"B,B,B,B,B,B,B,B,B,B/B/B/B/B/B/B/B/B/B/"
-17.5311	"/B/B/B/B/B/B/B/B/B/B,B,B,B,B,B,B,B,B,"
-17.4478	",B,B,B,B,B,B,B,B,B/B/B/B/B/B/B/B/B/B/"
-17.4361	"//B,GB/B/B,GB/B/B,GB/B/B,GB/B/B,GB/B/B,GB/B/B,GB/B/B,GB/B/B,GB/B"
-17.4191	"/R/,GB/R/B,GB/R/B,GB/R/B,GB/R/B,GB/R/B,GB/R/B,GB/R/B,GB/R/B,GB/B"
-17.4085	"/R,GB//R,GB//R,GB//R,GB//R,GB//R,GB//R,GB//R,GB//R,GB//"
-17.378	"/B,GB//B,GB//B,GB//B,GB//B,GB//B,GB//B,GB//B,GB//B,GB//"
-17.2869	"/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/GB"
-17.2593	"/,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/"
-17.2593	"/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,/"
-17.2452	"/RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//R"
-17.1932	"/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RG"
-17.1724	"/R,/R,/R,/R,/R,/R,/R,/R,/R,/B"
-17.1086	"//B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B"
-17.1007	"//B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G"
-17.0849	"/R,B//R,B//R,B//R,B//R,B//R,B//R,B//R,B//R,B//"
-17.0351	"/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB"
-17.014	"/B,B//B,B//B,B//B,B//B,B//B,B//B,B//B,B//B,B//"
-16.93	"R/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/"
-16.928	"/B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B"
-16.928	"/B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//R"
-16.928	"/B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//G"
-16.917	"/B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,"
-16.9112	"/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,B"
-16.9075	"R/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/"
-16.9073	"G,RB,RB,RB,RB,RB,RB,RB,RB,B"
-16.9059	"R/R,B,B,B,B,B,B,B,B,B"
-16.9017	"/B,/B,/B,/B,/B,/B,/B,/B,/B,G////////"
-16.901	"R/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/"
-16.8989	"R/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/,G"
-16.891	",B,B,B,B,B,B,B,B,B/G"
-16.891	",B,B,B,B,B,B,B,B,B/R"
-16.8776	"/B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,B"
-16.8736	"B,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/"
-16.8694	"B,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/"
-16.8693	"/R/R/R/R/R/R/R/B,B,B,B,B,B,B,B,B,B"
-16.8674	"/B/B/B/B/B/B/B/R,B,B,B,B,B,B,B,B,"
-16.8556	"/R,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-16.8511	"B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,B"
-16.8354	"B/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/"
-16.8062	",GB,GB,GB,GB,GB,GB,GB,GB,GB/B"
-16.7948	",G,G,G,G,G,G,G,G,G"
-16.7902	"B,B/,B/,B/,B/,B/,B/,B/,B/,B"
-16.75	"B,B,B,B,B,B,B,B,B,/B/B/B/B/B/B/B/B"
-16.7425	"RB,RB,RB,RB,RB,RB,RB,RB,RB,/"
-16.7286	"B/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/"
-16.7165	"/,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B"
-16.6802	"RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB/"
-16.6711	"B,B,B,B,B,B,B,B,B,/B"
-16.6701	"RB,/B,/B,/B,/B,/B,/B,/B,/B,/"
