./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --param=8.0 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=17003 by user binli at Thu Aug  1 03:39:02 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/17003/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-21.8482	"G/,/RR,G/,/RR,G/G/G/,/RR,G/,/RR,/RR,/RR"
-21.8482	"G/G/G/,/RR,G/,/RR,G/,/RR,/RR,G/,/RR,/RR"
-21.8482	"G/G/,/RR,G/G/,/RR,/RR,G/,/RR,G/,/RR,/RR"
-21.8482	"G/,/RR,G/G/,/RR,/RR,G/G/,/RR,/RR,G/,/RR"
-20.8674	"RG/R,R/RR,RG/R,R/RRG/R,R/RRG/R,R/RRG/R,R/RR,RG/R,R/RRG/,/RR"
-20.8674	"RG/R,R/RRG/R,R/RRG/R,R/RRG/R,R/RRG/,/RR,G/,/RR,G/,/RR"
-20.8674	"RG/R,R/RR,RG/R,R/RRG/R,R/RRG/R,R/RR,RG/R,R/RRG/R,R/RRG/,/RR"
-20.8674	"RG/R,R/RR,RG/R,R/RRG/R,R/RR,RG/R,R/RRG/R,R/RRG/R,R/RRG/,/RR"
-20.8674	"RG/R,R/RR,RG/R,R/RR,RG/R,R/RRG/R,R/RRG/R,R/RRG/R,R/RRG/,/RR"
-20.8674	"GG/G,G/RRG/G,G/RRG/G,G/RRG/G,G/RRG/,/RR,G/,/RR,G/,/RR"
-20.8674	"GG/G,G/RRG/G,G/RRG/G,G/RRG/G,G/RR,GG/G,G/RRG/,/RR,G/,/RR"
-20.8674	"GG/G,G/RRG/G,G/RRG/G,G/RRG/G,G/RR,GG/G,G/RR,GG/G,G/RRG/,/RR"
-20.8674	"GG/G,G/RRG/G,G/RRG/G,G/RR,GG/G,G/RRG/G,G/RRG/,/RR,G/,/RR"
-20.8674	"GG/G,G/RRG/G,G/RRG/G,G/RR,GG/G,G/RRG/G,G/RR,GG/G,G/RRG/,/RR"
-20.8674	"GG/G,G/RRG/G,G/RRG/G,G/RR,GG/G,G/RR,GG/G,G/RRG/G,G/RRG/,/RR"
-20.8674	"GG/G,G/RRG/G,G/RR,GG/G,G/RRG/G,G/RRG/G,G/RRG/,/RR,G/,/RR"
-20.8674	"GG/G,G/RRG/G,G/RR,GG/G,G/RRG/G,G/RRG/G,G/RR,GG/G,G/RRG/,/RR"
-20.8674	"GG/G,G/RRG/G,G/RR,GG/G,G/RRG/G,G/RR,GG/G,G/RRG/G,G/RRG/,/RR"
-20.8674	"GG/G,G/RRG/G,G/RR,GG/G,G/RR,GG/G,G/RRG/G,G/RRG/G,G/RRG/,/RR"
-20.8674	"GG/G,G/RR,GG/G,G/RRG/G,G/RRG/G,G/RRG/G,G/RRG/,/RR,G/,/RR"
-20.8674	"GG/G,G/RR,GG/G,G/RR,GG/G,G/RRG/G,G/RRG/G,G/RRG/G,G/RRG/,/RR"
-20.8674	"GG/G,G/RR,GG/G,G/RRG/G,G/RR,GG/G,G/RRG/G,G/RRG/G,G/RRG/,/RR"
-20.8674	"GG/G,G/RR,GG/G,G/RRG/G,G/RRG/G,G/RR,GG/G,G/RRG/G,G/RRG/,/RR"
-20.8674	"GG/G,G/RR,GG/G,G/RRG/G,G/RRG/G,G/RRG/G,G/RR,GG/G,G/RRG/,/RR"
-20.8674	"RG/R,R/RRG/R,R/RRG/R,R/RRG/R,R/RR,RG/R,R/RRG/,/RR,G/,/RR"
-20.8674	"RG/R,R/RRG/R,R/RRG/R,R/RRG/R,R/RR,RG/R,R/RR,RG/R,R/RRG/,/RR"
-20.8674	"RG/R,R/RRG/R,R/RRG/R,R/RR,RG/R,R/RRG/R,R/RRG/,/RR,G/,/RR"
-20.8674	"RG/R,R/RRG/R,R/RRG/R,R/RR,RG/R,R/RRG/R,R/RR,RG/R,R/RRG/,/RR"
-20.8674	"RG/R,R/RRG/R,R/RRG/R,R/RR,RG/R,R/RR,RG/R,R/RRG/R,R/RRG/,/RR"
-20.8674	"RG/R,R/RR,RG/R,R/RRG/R,R/RRG/R,R/RRG/R,R/RRG/,/RR,G/,/RR"
-20.8674	"RG/R,R/RRG/R,R/RR,RG/R,R/RR,RG/R,R/RRG/R,R/RRG/R,R/RRG/,/RR"
-20.8674	"RG/R,R/RRG/R,R/RR,RG/R,R/RRG/R,R/RRG/R,R/RRG/,/RR,G/,/RR"
-20.8674	"RG/R,R/RRG/R,R/RR,RG/R,R/RRG/R,R/RRG/R,R/RR,RG/R,R/RRG/,/RR"
-20.8674	"RG/R,R/RRG/R,R/RR,RG/R,R/RRG/R,R/RR,RG/R,R/RRG/R,R/RRG/,/RR"
-19.4811	"G/,/RR,BG/B,B/RR,G/,/RR,BG/B,B/RR,G/,/RR"
-19.4811	"G/,/RR,G/,/RR,G/,/RR,BG/B,B/RR,G/,/RR"
-19.4811	"G/,/RR,BG/B,B/RR,G/,/RR,G/,/RR,G/,/RR"
-19.4811	"BG/B,B/RR,G/,/RR,G/,/RR,BG/B,B/RR,G/,/RR"
-19.4811	"BG/B,B/RR,G/,/RR,BG/B,B/RR,G/,/RR,G/,/RR"
-19.4811	"BG/B,B/RR,G/,/RR,BG/B,B/RR,BG/B,B/RR,G/,/RR"
-19.4811	"BG/B,B/RR,BG/B,B/RR,G/,/RR,BG/B,B/RR,G/,/RR"
-19.4811	"G/,/RR,BG/B,B/RR,BG/B,B/RR,G/,/RR,G/,/RR"
-19.4811	"G/,/RR,G/,/RR,BG/B,B/RR,BG/B,B/RR,G/,/RR"
-19.4811	"G/,/RR,BG/B,B/RR,BG/B,B/RR,BG/B,B/RR,G/,/RR"
-19.4811	"G/,/RR,G/,/RR,BG/B,B/RR,G/,/RR,G/,/RR"
-19.4811	"RG/,R/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR"
-19.2988	"G/G/,/RR,G/,/RR/RR,G/,/RR,G/,/RR,G/,/RR"
-18.8864	"G/,/RR,G/,GR,G/,GR,G/,GR,G/,GR"
-18.8864	"G/,/RR,G/,/RR,G/,GR,G/,GR,G/,/RR"
-18.8864	"G/,GR,G/,GR,G/,/RR,G/,GR,G/,/RR"
-18.8864	"G/,GR,G/,GR,G/,/RR,G/,GR,G/,GR"
-18.8864	"G/,/RR,G/,/RR,G/,GR,G/,/RR,G/,GR"
-18.8864	"G/,GR,G/,GR,G/,GR,G/,/RR,G/,/RR"
-18.8864	"G/,GR,G/,GR,G/,GR,G/,/RR,G/,GR"
-18.8864	"G/,GR,G/,GR,G/,GR,G/,GR,G/,GR"
-18.8864	"G/,/RR,G/,/RR,G/,/RR,G/,GR,G/,/RR"
-18.8864	"G/,/RR,G/,/RR,G/,/RR,G/,GR,G/,GR"
-18.8864	"G/,GR,G/,GR,G/,GR,G/,GR,G/,/RR"
-18.8864	"G/,GR,G/,/RR,G/,/RR,G/,GR,G/,/RR"
-18.8864	"G/,/RR,G/,GR,G/,GR,G/,GR,G/,/RR"
-18.8864	"G/,/RR,G/,GR,G/,GR,G/,/RR,G/,GR"
-18.8864	"G/,/RR,G/,GR,G/,GR,G/,/RR,G/,/RR"
-18.8864	"G/,/RR,G/,GR,G/,/RR,G/,GR,G/,GR"
-18.8864	"G/,/RR,G/,GR,G/,/RR,G/,GR,G/,/RR"
-18.8864	"G/,/RR,G/,GR,G/,/RR,G/,/RR,G/,GR"
-18.8864	"G/,/RR,G/,/RR,G/,GR,G/,GR,G/,GR"
-18.8864	"G/,/RR,G/,GR,G/,/RR,G/,/RR,G/,/RR"
-18.8864	"G/,/RR,G/,/RR,G/,GR,G/,/RR,G/,/RR"
-18.8864	"G/,GR,G/,/RR,G/,/RR,G/,GR,G/,GR"
-18.8864	"G/,GR,G/,/RR,G/,/RR,G/,/RR,G/,GR"
-18.8864	"G/,GR,G/,GR,G/,/RR,G/,/RR,G/,/RR"
-18.8864	"G/,GR,G/,/RR,G/,/RR,G/,/RR,G/,/RR"
-18.8864	"G/,GR,G/,/RR,G/,GR,G/,GR,G/,/RR"
-18.8864	"G/,GR,G/,/RR,G/,GR,G/,GR,G/,GR"
-18.8864	"G/,GR,G/,GR,G/,/RR,G/,/RR,G/,GR"
-18.8864	"G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,GR"
-18.8864	"G/,GR,G/,/RR,G/,GR,G/,/RR,G/,GR"
-18.8864	"G/,GR,G/,/RR,G/,GR,G/,/RR,G/,/RR"
-18.8844	"G/,/RR,G/,/RR,G/,G/RR,G/,/RR,G/,/RR"
-18.8844	"G/R,/RR,G/,/RR,G/,/RR,G/,/RR,G/R,/RR"
-18.8844	"G/R,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR"
-18.8844	"G/,/RR,G/,/RR,G/,G/RR,G/,G/RR,G/,G/RR"
-18.8844	"G/,/RR,G/,/RR,G/,G/RR,G/,G/RR,G/,/RR"
-18.8844	"G/,/RR,G/,/RR,G/,G/RR,G/,/RR,G/,G/RR"
-18.8844	"G/,/RR,G/,/RR,G/,/RB,G/,/RB,G/,/RR"
-18.8844	"G/,/RR,G/,/RR,G/,B/RR,G/,B/RR,G/,B/RR"
-18.8844	"G/,/RR,G/,/RR,G/,B/RR,G/,B/RR,G/,/RR"
-18.8844	"G/,/RR,G/,/RR,G/,B/RR,G/,/RR,G/,B/RR"
-18.8844	"G/R,/RR,G/,/RR,G/,/RR,G/R,/RR,G/,/RR"
-18.8844	"G/,/RR,G/,/RR,G/,/RB,G/,/RR,G/,/RR"
-18.8844	"G/,/RR,G/,/RR,G/,/RB,G/,/RR,G/,/RB"
-18.8844	"G/R,/RR,G/,/RR,G/R,/RR,G/,/RR,G/R,/RR"
-18.8844	"G/,/RR,G/,/RR,G/,/RB,G/,/RB,G/,/RB"
-18.8844	"G/R,/RR,G/,/RR,G/,/RR,G/R,/RR,G/R,/RR"
-18.8844	"G/,/RR,G/,/RR,G/G,/RR,G/,/RR,G/,/RR"
-18.8844	"G/R,/RR,G/,/RR,G/R,/RR,G/,/RR,G/,/RR"
-18.8844	"G/G,/RR,G/G,/RR,G/G,/RR,G/,/RR,G/G,/RR"
-18.8844	"G/,/RR,G/,/RR,G/G,/RR,G/,/RR,G/G,/RR"
-18.8844	"G/,/RR,G/,/RR,G/G,/RR,G/G,/RR,G/,/RR"
-18.8844	"G/,/RR,G/,/RR,G/G,/RR,G/G,/RR,G/G,/RR"
-18.8844	"G/,/RR,G/,/RR,G/,/RR,G/,B/RR,G/,/RR"
-18.8844	"G/,/RR,G/,/RR,G/,/RR,G/R,/RR,G/,/RR"
-18.8844	"G/,/RR,G/,/RR,G/,/RR,G/,B/RR,G/,B/RR"
-18.8844	"G/,/RR,G/,/RR,G/,/RR,G/,G/RR,G/,/RR"
-18.8844	"G/,/RR,G/,/RR,G/,/RR,G/,G/RR,G/,G/RR"
-18.8844	"G/G,/RR,G/G,/RR,G/,/RR,G/G,/RR,G/,/RR"
-18.8844	"G/G,/RR,G/G,/RR,G/,/RR,G/G,/RR,G/G,/RR"
-18.8844	"G/G,/RR,G/G,/RR,G/G,/RR,G/,/RR,G/,/RR"
-18.8844	"G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/R,/RR"
-18.8844	"G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/G,/RR"
-18.8844	"G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,G/RR"
-18.8844	"G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,B/RR"
-18.8844	"G/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RB"
-18.8844	"G/,/RR,G/,/RR,G/,/RR,G/G,/RR,G/,/RR"
-18.8844	"G/,/RR,G/,/RR,G/,/RR,G/G,/RR,G/G,/RR"
-18.8844	"G/G,/RR,G/G,/RR,G/G,/RR,G/G,/RR,G/,/RR"
-18.8844	"G/,/RR,G/,/RR,G/,B/RR,G/,/RR,G/,/RR"
-18.8844	"G/,/RR,G/,/RR,G/,/RR,G/R,/RR,G/R,/RR"
-18.8844	"G/G,/RR,G/G,/RR,G/,/RR,G/,/RR,G/G,/RR"
-18.8844	"G/G,/RR,G/G,/RR,G/,/RR,G/,/RR,G/,/RR"
-18.8844	"G/G,/RR,G/,/RR,G/G,/RR,G/G,/RR,G/G,/RR"
-18.8844	"G/G,/RR,G/,/RR,G/G,/RR,G/G,/RR,G/,/RR"
