./main --alphabet=BRG --data=R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G --param=0.87 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=14112 by user binli at Wed Jul 31 21:38:02 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/14112/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-17.4987	"R/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/"
-17.3468	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R//G"
-17.3468	"R//G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-17.3468	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/,G"
-17.3115	"R,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/,R"
-17.1935	"R/R/R/R/R/R/R/R/R/R/G,,,,,,,,,"
-17.0139	"/,/,/,/,/,/,/,/,/,/B"
-16.9757	"/,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G"
-16.9292	"R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,/"
-16.8896	"B/G,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-16.8896	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/B"
-16.798	"G/G,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-16.798	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/R"
-16.7576	"/,/,/,/,/,/,/,/,/,/R"
-16.7334	"B/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-16.6934	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/B"
-16.6808	"G/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-16.6619	"B/,/,/,/,/,/,/,/,/,/"
-16.6536	"R,/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-16.6413	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/R"
-16.6184	"G,/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,G"
-16.6155	"G,R,R,R,R,R,R,R,R,"
-16.4956	"/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-16.472	"R,R,R,R,R,R,R,R,R,R/G"
-16.4718	",G,G,G,G,G,G,G,G,R"
-16.4611	"R/G,G,G,G,G,G,G,G,G,G"
-16.4405	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/"
-16.4254	"G/,/,/,/,/,/,/,/,/,/"
-16.418	"//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G"
-16.4163	"R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//"
-16.4043	"R,/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,G"
-16.4039	"R,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/,G"
-16.3696	"R/,/,/,/,/,/,/,/,/,/G"
-16.3648	"RG,RG,RG,RG,RG,RG,RG,RG,RG,"
-16.3596	"R/,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-16.2685	"R,/R,/R,/R,/R,/R,/R,/R,/R,"
-16.248	"R/,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/G"
-16.248	"R/,R/B,R/B,R/B,R/B,R/B,R/B,R/B,R/B,R/G"
-16.2471	"/,G,G,G,G,G,G,G,G,G"
-16.2471	"R,R,R,R,R,R,R,R,R,/"
-16.2319	"R/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,/G"
-16.2319	"R/G,B/G,B/G,B/G,B/G,B/G,B/G,B/G,B/G,/G"
-16.2153	"R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R//G"
-16.2153	"R//G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G"
-16.2036	"R,R,R,R,R,R,R,R,R,/G/G/G/G/G/G/G/G/G/G"
-16.2021	"G,/G,/G,/G,/G,/G,/G,/G,/G,"
-16.1925	"R/R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-16.1816	"R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R//G"
-16.1816	"R//G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G"
-16.1665	"R/R/R/R/R/R/R/R/R/R/,G,G,G,G,G,G,G,G,G"
-16.1056	"R//,R//,R//,R//,R//,R//,R//,R//,R//,R//G"
-16.1036	"R//G,//G,//G,//G,//G,//G,//G,//G,//G,//G"
-16.0462	",R/,R/,R/,R/,R/,R/,R/,R/,G"
-16.0261	"R,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,"
-16.0246	"R,/R,/R,/R,/R,/R,/R,/R,/R,G"
-16.0226	"R,G/,G/,G/,G/,G/,G/,G/,G/,G"
-15.9875	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G/G"
-15.9595	"R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,G"
-15.9595	"R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/G"
-15.9574	"R,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G"
-15.9546	"R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/,R"
-15.9185	"R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,/"
-15.8955	"R,R,R,R,R,R,R,R,R,G/G/G/G/G/G/G/G/G/G"
-15.8924	"R/R/R/R/R/R/R/R/R/R,G,G,G,G,G,G,G,G,G"
-15.8779	",/G,/G,/G,/G,/G,/G,/G,/G,"
-15.8778	"/////////,G,G,G,G,G,G,G,G,G"
-15.8763	"G,G,G,G,G,G,G,G,G,/G/G/G/G/G/G/G/G/G"
-15.8579	"R/R/R/R/R/R/R/R/,G,G,G,G,G,G,G,G,G"
-15.8431	",,,,,,,,,G"
-15.8419	"R,R,R,R,R,R,R,R,R,/G/G/G/G/G/G/G/G"
-15.8264	"R/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G"
-15.8185	"R,,,,,,,,,"
-15.8137	"R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,//G"
-15.7955	"R/R/R/R/R/R/R/R/R/,R,R,R,R,R,R,R,R,R"
-15.787	"R,/,/,/,/,/,/,/,/,/G"
-15.757	"R,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-15.7525	"R/R/R/R/R/R/R/R/R/G,R,R,R,R,R,R,R,R,"
-15.7321	"R//,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G"
-15.7314	"R/,/G,/G,/G,/G,/G,/G,/G,/G,"
-15.7231	"G,R,R,R,R,R,R,R,R,R"
-15.7231	"G,G,G,G,G,G,G,G,G,R"
-15.7002	"R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,G"
-15.6486	"/,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G"
-15.6271	"B,/,/,/,/,/,/,/,/,/"
