./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --param=0.85 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=16192 by user binli at Thu Aug  1 01:58:58 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/16192/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-17.609	"B,B,B,B,B,B,B,B,B,B/B/B/B/B/B/B/B/B/B/"
-17.5821	"B/,B/,B/,B/,B/,B/,B/,B/,B/,B/"
-17.5671	"/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/GB"
-17.4877	"/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RG"
-17.4798	"/B,/B,/B,/B,/B,/B,/B,/B,/B,/B/"
-17.4056	"/R,B//R,B//R,B//R,B//R,B//R,B//R,B//R,B//R,B//"
-17.3525	",B,B,B,B,B,B,B,B,B/B/B/B/B/B/B/B/B/B/"
-17.3411	"/,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/"
-17.211	"B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/"
-17.1968	"/RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//"
-17.1888	"G/B,/B,/B,/B,/B,/B,/B,/B,/B,/B"
-17.1873	"G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/"
-17.1203	"B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,/"
-17.0191	"/R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R"
-16.8817	"/,GB,GB,GB,GB,GB,GB,GB,GB,GB"
-16.8773	"R,R,R,R,R,R,R,R,R,G/"
-16.8748	"B,/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G"
-16.8503	"/R/R/R/R/R/R/R/B,B,B,B,B,B,B,B,B,B"
-16.8212	"/B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B"
-16.8194	"B,B,B,B,B,B,B,B,B,G/B/B/B/B/B/B/B/B"
-16.8181	"/B/B/B/B/B/B/B/R,B,B,B,B,B,B,B,B,"
-16.8093	"R,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G"
-16.8083	"//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B"
-16.8066	"R/R,B,B,B,B,B,B,B,B,B"
-16.7952	"B/B,/B,/B,/B,/B,/B,/B,/B,/B,/B"
-16.7935	"G,G,G,G,G,G,G,G,G,B"
-16.7859	"/R,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-16.7467	"B,B,B,B,B,B,B,B,B,////////"
-16.7416	"/B/B/B/B/B/B/B/B/B/B,B,B,B,B,B,B,B,B,"
-16.7385	"/R/,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/B"
-16.7189	"/,/,/,/,/,/,/,/,/,/"
-16.6997	"B,/B,/B,/B,/B,/B,/B,/B,/B,R"
