./main --alphabet=BRG --data=R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G --param=1.5 --threads=12 --top=10000 --time=30m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=18408 by user binli at 2020-04-02 08:30:48
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 12e9a29c5a924988e5b9ecdf5508f6c9  /proc/18408/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --chains=1
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200000 ms)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Edit Distance Paramter: 1.500000
-24.4991	"R/,R/,R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-24.4991	"R/,R/,R/G,R/G,R/G,R/G,R/,R/G,R/G,R/G"
-24.4991	"R/,R/,R/,R/G,R/G,R/G,R/,R/,R/,R/G"
-24.4991	"R/,R/G,R/G,R/,R/,R/,R/,R/,R/,R/G"
-24.4861	"R/G,/G,R/G,/G,R/G,/G,/G,R/G,/G,/G"
-24.363	"R/,/,/,/G,/G,/G,/G,/G,/G,/G"
-24.3626	"R/,/G,/G,/,/,/,/,/,/,/G"
-24.3605	"R/,/G,/G,/,/,/,/G,/G,/G,/G"
-24.3605	"R/,/G,/,/,/,/,/G,/,/,/G"
-23.7124	"R/,R/,R/G,R/G,R/G,R/G,R/,R/,R/,G"
-23.7124	"R/,R/G,R/G,R/,R/,R/,R/,R/,R/,G"
-23.7119	"R/,R/,R/,R/G,R/G,R/G,R/G,R/G,R/G,G"
-23.7119	"R/,R/G,R/,R/,R/,R/,R/G,R/G,R/G,G"
-23.7118	"R/,R/G,R/,R/,R/,R/,R/G,R/,R/,G"
-23.7118	"R/,R/G,R/G,R/,R/,R/,R/G,R/G,R/G,G"
-23.7118	"R/,R/G,R/G,R/,R/G,R/,R/G,R/,R/,G"
-19.1611	"R/,R/G,R/G,R/G,R/G/G,R/G,R/G/G/G,R/G,R/G/G/G/,R/G/"
-19.1611	"R/,R/G,R/G,R/G,R/G,R/G,R/G/G/G/G,R/G,R/G/G,R/G/G/"
-18.2259	"R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R/G/G"
-18.1864	"R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,/G"
-18.1864	"R/,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G"
-17.8799	"R/R/,R/,R/,R/,R/,R/,R/,R/,R/,R/G"
-17.5736	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/"
-17.5246	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/B/G"
-17.5148	"R/G/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-17.5148	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/R/G"
-17.4988	"R//,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G"
-17.4444	"R/R/R/R/R/R/R/R/R/R/R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-17.4161	"R/////////R,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-17.3987	"R/,/GR/,G/GR/,G/GR/,G/GR/,G/GR/,G/GR/,G/GR/,G/GR/,G/G"
-17.3373	"R/,/GR/,/GR/,/GR/,/GR/,/GR/,/GR/,/GR/,/G,"
-17.3104	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G/G/G/G/G/G/G/"
-17.3059	"R/R/,R/,R/,R/,R/,R/,R/,R/,R/,G"
-17.2658	"R/,/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G/G"
-17.2626	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G/"
-17.2457	"R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,/"
-17.1685	"B/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-17.1628	"G/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-17.1492	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/B"
-17.1438	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/GGGGGGGGGG"
-17.1435	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/R"
-17.1039	"R//R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/G"
-17.0817	"R/,R/G,R/G,R/G,R/G,R/G/G,R/G,R/G/G,R/G/G/,R/G/"
-17.0817	"R/,R/G,R/G,R/G,R/G,R/G/G,R/G/G/,R/G,R/G/,R/G/"
-17.0817	"R/,R/G,R/G,R/G,R/G/G,R/G/G,R/G,R/G,R/G/G/G,R/G/G/"
-17.0817	"R/,R/G,R/G,R/G,R/G/G/G/G,R/G/,R/G,R/G,R/G,R/G/G/G/G/"
-17.0817	"R/,R/G,R/G,R/G/G,R/G,R/G/G/,R/G,R/G,R/G/G/,R/G/"
-17.063	"R//G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G"
-17.0592	"R/,/,/,/,/,/,/,/,/,G"
-17.014	"R/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G//G"
-16.9551	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G/G/G/G/G/G/G/G/G/G/G"
-16.9466	"R/R/R//,,/G,R/,,/G,/,/G,R/,/G"
-16.8314	"R/B/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-16.8112	"R/,/R,/R,/R,/R,/R,/R,/R,/R,/G"
-16.8057	"R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,//G"
-16.7975	"R/,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/G"
-16.7975	"R/,R/B,R/B,R/B,R/B,R/B,R/B,R/B,R/B,R/G"
-16.7934	"R/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,/G"
-16.7934	"R/G,B/G,B/G,B/G,B/G,B/G,B/G,B/G,B/G,/G"
-16.7864	"R/R/G,B/R/G,B/R/G,B/R/G,B/R/G,B/R/G,B/R/G,B/R/G,B/R/G,B//G"
-16.7864	"R/R/G,G/R/G,G/R/G,G/R/G,G/R/G,G/R/G,G/R/G,G/R/G,G/R/G,G//G"
-16.7673	"R//R,R/G/R,R/G/R,R/G/R,R/G/R,R/G/R,R/G/R,R/G/R,R/G/R,R/G/G"
-16.7673	"R//B,R/G/B,R/G/B,R/G/B,R/G/B,R/G/B,R/G/B,R/G/B,R/G/B,R/G/G"
-16.7361	"RR/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-16.7299	"R/,/G,/G,/G,/G,/G,/G,/G,/G,R"
-16.7056	"R/R,/GR/R,/GR/R,/GR/R,/GR/R,/GR/R,/GR/R,/GR/R,/GR/,/G"
-16.6925	"R,R,R,R,R,R,R,R,R,G"
-16.6898	"R/,/G,/G,/G,/G,/G,/G,/G,/G,/GG"
-16.6893	"R,G,G,G,G,G,G,G,G,G"
-16.6575	"R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R//G"
-16.657	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G/G/G/G/G/G/G/G/"
-16.6373	"/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-16.604	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,G/G/G/G/G/G/G/G/"
-16.5978	"B/,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-16.5936	"RRRRRRRRR/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-16.5686	"R/,/G,/G,/G,/G,/G,/G,/G,/G,G/G/G/G/G/G/G/G/G/G"
-16.5649	"G/,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-16.4292	"/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R//G"
-16.4265	"R,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,"
-16.4123	"/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R//G"
-16.4091	"R/,/G,/G,/G,/G,/G,/G,/G,/G,/G/G/G/G/G/G/G/"
-16.3926	"/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R//G"
-16.366	"R,/,/,/,/,/,/,/,/,/G"
-16.327	"R,/G,/G,/G,/G,/G,/G,/G,/G,/"
-16.321	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/GGGGGGGGG"
-16.3138	"R/,/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-16.3001	"R/,/GR/G,/GR/G,/GR/G,/GR/G,/GR/G,/GR/G,/GR/G,/GR/G,/G"
